word,frequency
text,176997222
score,172154172
label,172106263
location,75805653
the,65608624
and,47130997
name,30763754
agency,26418034
title,23816923
date,20569909
page,15111007
for,13033809
would,8928175
project,7715245
area,7522051
that,7518767
are,6801107
with,6446122
not,6289940
number,6034977
from,5897160
alternative,5879008
nthe,5186709
ner,4853770
water,4847267
this,4818908
environmental,4202402
areas,4175726
river,3919310
eis,3828338
impacts,3676391
impact,3666453
species,3488731
section,3461051
habitat,3416507
proposed,3392876
county,3166129
plan,3147515
site,3115073
management,3066705
state,2836499
resources,2823822
use,2790926
forest,2783293
construction,2768811
will,2747587
national,2725511
road,2572906
within,2551018
may,2520207
action,2519319
have,2505326
nno,2432410
these,2426116
land,2418187
other,2369090
all,2320975
new,2187161
service,2179896
nand,2121515
public,2121452
analysis,2083560
reported,2063749
existing,2054485
alternatives,2035334
creek,2022909
was,2010921
effects,1996937
final,1993112
under,1943923
potential,1913589
draft,1899861
study,1861262
which,1853340
federal,1831701
wildlife,1816422
were,1800509
street,1785599
city,1767385
north,1762963
during,1759055
statement,1725506
blm,1714572
has,1707017
quality,1703236
south,1642875
than,1636387
activities,1627648
california,1624516
report,1597265
year,1596020
fish,1593036
chapter,1574419
also,1542257
san,1519182
department,1468863
acres,1461680
sites,1441908
any,1427477
west,1426229
lake,1400769
historic,1385563
data,1376335
system,1372237
development,1344126
could,1343616
act,1342397
high,1339017
mitigation,1336804
appendix,1326009
nalternative,1314195
air,1313546
through,1311674
lands,1311497
more,1292500
non,1291555
park,1233491
conditions,1228261
result,1220504
been,1218010
level,1211862
noise,1209359
ntable,1205908
such,1205005
there,1191401
natural,1187577
access,1185919
include,1176553
facilities,1171789
local,1169132
surface,1168762
nof,1162414
east,1148380
feet,1147008
used,1138932
resource,1138482
valley,1134110
but,1131510
information,1131033
including,1127778
time,1124163
corridor,1117647
table,1113689
long,1112384
line,1108575
station,1107527
nto,1099910
vegetation,1090569
district,1089507
nin,1082462
one,1072487
conservation,1065544
term,1057632
measures,1052142
based,1044358
region,1042859
associated,1029286
bay,1022237
occur,1021190
avenue,1015684
soil,1005986
range,994691
nepa,994140
roads,990552
each,986271
wetlands,986060
can,983597
percent,970889
epa,969301
transportation,956459
type,946992
plant,946640
ave,946448
between,941766
route,941130
change,925809
protection,925527
well,924332
environment,914910
community,907089
basin,900820
planning,900732
total,898694
provide,896405
wetland,892796
control,892457
along,891964
oil,888941
facility,888324
traffic,886463
design,881881
where,880888
their,880606
fire,879152
two,879137
over,878052
its,876166
operations,874145
low,869101
years,866258
gas,865718
energy,860388
projects,856025
affected,855647
only,855129
program,849765
flow,849240
comments,847164
property,839142
recreation,835449
marine,834333
states,834214
into,833291
additional,833118
emissions,830029
they,825002
increase,822855
approximately,813246
rypp,803746
per,799161
some,795919
ntotal,795541
available,795439
open,793258
part,792139
significant,787131
channel,786022
point,785250
because,784570
agencies,784181
see,784050
less,782473
eir,779976
miles,779513
nfigure,778036
status,777793
due,775646
nproject,775445
rail,774202
most,772975
future,769536
riparian,765857
located,761668
however,759623
highway,759375
general,754271
island,751095
should,748658
those,748480
deis,745630
waste,744473
nyes,744279
communities,743529
specific,742298
safety,736815
restoration,731181
lower,726477
above,724633
assessment,724294
when,723503
response,723157
identified,721949
required,721316
way,718392
below,710529
office,709822
you,708751
levels,705880
monitoring,703365
stream,700834
nwould,700541
cultural,699668
sea,697471
greater,695081
june,693434
habitats,693326
risk,692563
ndate,689239
los,688797
current,686329
population,680550
health,679739
following,677856
reservoir,677578
locations,673813
field,673341
adverse,669003
listed,668606
review,668123
period,666537
survey,666203
regional,665440
comment,665069
waters,664842
coastal,664207
nfor,663551
usfws,662038
map,658048
center,657723
